id,title,description,image,cat_section,category,count,rating,views,price,tags,images,featured
sacred-temples,Sacred Temples,Ancient temples and spiritual architecture,https://i.postimg.cc/G2Jtvrzx/tempImageN7Ynt8.avif,featured,architecture,45,4.8,0,2999,"{temples,architecture,spiritual,heritage,ancient}","{https://i.postimg.cc/G2Jtvrzx/tempImageN7Ynt8.avif,https://i.postimg.cc/hjgy2bbR/tempImageO8LIr2.avif,https://i.postimg.cc/nzYrqZTT/tempImagepeTFpY.avif,https://i.postimg.cc/L82pZfGK/tempImage0MZ1Qo.avif}",true
divine-portraits,Divine Portraits,Beautiful deity artwork and paintings,https://i.postimg.cc/yx32SQ76/62.avif,featured,art,67,4.9,0,3499,"{portraits,deities,art,paintings,divine}","{https://i.postimg.cc/yx32SQ76/62.avif,https://i.postimg.cc/G2Jtvrzx/tempImageN7Ynt8.avif,https://i.postimg.cc/SsNLXZf8/tempImageXR0Khf.avif,https://i.postimg.cc/66ZV8GdG/tempImageEpdAxY.avif}",true
spiritual-landscapes,Spiritual Landscapes,Sacred places and holy sites,https://i.postimg.cc/nzYrqZTT/tempImagepeTFpY.avif,featured,nature,34,4.7,0,2499,"{landscapes,nature,sacred,pilgrimage,holy}","{https://i.postimg.cc/nzYrqZTT/tempImagepeTFpY.avif,https://i.postimg.cc/VsxMwHMk/temp-Image-DVx-VWQ.avif,https://i.postimg.cc/h4zxHqXr/temp-Image0m4o-HY.avif,https://i.postimg.cc/g2Yxk92N/temp-Image-Y61d7-W.avif}",true
festival-moments,Festival Moments,Captured spiritual celebrations,https://i.postimg.cc/L82pZfGK/tempImage0MZ1Qo.avif,featured,events,89,4.6,0,3999,"{festivals,celebrations,culture,events,spiritual}","{https://i.postimg.cc/L82pZfGK/tempImage0MZ1Qo.avif,https://i.postimg.cc/L89jQCG1/tempImageQAFHVQ.avif,https://i.postimg.cc/cJ6w0KxH/tempImageyiRJ1l.avif,https://i.postimg.cc/Fs1PCKcg/tempImagez5mFhZ.avif}",true
meditation-spaces,Meditation Spaces,Peaceful environments for contemplation,https://i.postimg.cc/hjgy2bbR/tempImageO8LIr2.avif,featured,nature,23,4.8,0,2799,"{meditation,peace,zen,tranquility,nature}","{https://i.postimg.cc/hjgy2bbR/tempImageO8LIr2.avif,https://i.postimg.cc/nzYrqZTT/tempImagepeTFpY.avif,https://i.postimg.cc/VsxMwHMk/temp-Image-DVx-VWQ.avif,https://i.postimg.cc/g2Yxk92N/temp-Image-Y61d7-W.avif}",true
trending-now,Trending Now,Most viewed this week,https://i.postimg.cc/SsNLXZf8/tempImageXR0Khf.avif,popular,trending,156,4.5,15600,1999,"{trending,popular,hot,viewed}","{https://i.postimg.cc/SsNLXZf8/tempImageXR0Khf.avif,https://i.postimg.cc/66ZV8GdG/tempImageEpdAxY.avif,https://i.postimg.cc/L89jQCG1/tempImageQAFHVQ.avif,https://i.postimg.cc/cJ6w0KxH/tempImageyiRJ1l.avif}",false
rising-stars,Rising Stars,Newly popular collections,https://i.postimg.cc/66ZV8GdG/tempImageEpdAxY.avif,popular,new,78,4.7,8900,1499,"{new,rising,popular,fresh}","{https://i.postimg.cc/66ZV8GdG/tempImageEpdAxY.avif,https://i.postimg.cc/L89jQCG1/tempImageQAFHVQ.avif,https://i.postimg.cc/cJ6w0KxH/tempImageyiRJ1l.avif,https://i.postimg.cc/Fs1PCKcg/tempImagez5mFhZ.avif}",false
mountain-vistas,Mountain Vistas,Breathtaking mountain landscapes,https://i.postimg.cc/VsxMwHMk/temp-Image-DVx-VWQ.avif,anime,mountains,67,4.7,0,1899,"{mountains,vistas,landscapes,nature,anime}","{https://i.postimg.cc/VsxMwHMk/temp-Image-DVx-VWQ.avif,https://i.postimg.cc/h4zxHqXr/temp-Image0m4o-HY.avif,https://i.postimg.cc/g2Yxk92N/temp-Image-Y61d7-W.avif,https://i.postimg.cc/PJHFPtVy/32.avif}",false
classic-rapper,Classic Rapper,Timeless rap artwork,https://i.postimg.cc/15935GrX/temp-Image5xgxp-E.avif,rapper,classic,234,4.8,0,2999,"{rapper,classic,hiphop,art,music}","{https://i.postimg.cc/15935GrX/temp-Image5xgxp-E.avif,https://i.postimg.cc/bN3NGZmF/temp-Imagefa-W5wa.avif,https://i.postimg.cc/RZhCwvYL/temp-Image-Fsblv-Q.avif,https://i.postimg.cc/L6H86t3s/temp-Image6-M4-FDA.avif}",false
modern-buildings,Modern Buildings,Contemporary architecture,https://i.postimg.cc/rsQv1t57/temp-Imageq2-Af-Gz.avif,dark,architecture,89,4.6,15600,3799,"{dark,modern,buildings,architecture,aesthetic}","{https://i.postimg.cc/rsQv1t57/temp-Imageq2-Af-Gz.avif,https://i.postimg.cc/FFVmFYkR/temp-Imageoo-RS7-Y.avif,https://i.postimg.cc/fWCnn11f/temp-Image-Qu2-Bi-Z.avif,https://i.postimg.cc/rFGD2ns7/94.avif}",false
spiritual-vistas-25,Divine Vrindavan,Sacred landscapes of the holy land,https://i.postimg.cc/y6nMpbfG/1.avif,featured,spiritual,30,4.9,1200,4999,"{vrindavan,spiritual,holy,divine,landscape}","{https://i.postimg.cc/y6nMpbfG/1.avif,https://i.postimg.cc/D0CRWSJh/2.avif,https://i.postimg.cc/y6nMpbfG/1.avif}",true
cyberpunk-temple,Cyberpunk Temple,A fusion of future tech and ancient spirituality,https://i.postimg.cc/wjYQX6XY/5.avif,anime,futuristic,42,4.8,2500,2999,"{cyberpunk,temple,anime,future,neon}","{https://i.postimg.cc/wjYQX6XY/5.avif,https://i.postimg.cc/d3Qzt20n/4.avif,https://i.postimg.cc/ncz6yGgh/3.avif}",false
forest-mystique,Forest Mystique,Hidden paths in enchanted woodlands,https://i.postimg.cc/V6TFMKV6/12.avif,popular,nature,55,4.7,5600,1599,"{forest,nature,enchanted,mystical,green}","{https://i.postimg.cc/V6TFMKV6/12.avif,https://i.postimg.cc/HWwJbSKh/3.avif,https://i.postimg.cc/V6TFMKV6/12.avif}",false
